DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
210909798,05/27/2021 12:00:00 AM,05/22/2021 12:00:00 AM,258,9,Van Nuys,914,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 1606 1822 1420 0344 2004,48,M,O,707.0,GARAGE/CARPORT,,,IC,Invest Cont,420.0,,,,6800    VAN NUYS                     BL,,34.1976,-118.4574
211818999,10/24/2021 12:00:00 AM,10/24/2021 12:00:00 AM,1400,18,Southeast,1842,1,761,BRANDISH WEAPON,0913 0361 0334 0416 0342,33,F,B,518.0,TRANSITIONAL HOUSING/HALFWAY HOUSE,207.0,OTHER KNIFE,AO,Adult Other,761.0,,,,400 W  109TH                        ST,,33.9374,-118.282
210706152,02/27/2021 12:00:00 AM,02/26/2021 12:00:00 AM,1400,7,Wilshire,782,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1800    HI POINT                     ST,,34.0418,-118.372
210508717,05/03/2021 12:00:00 AM,05/03/2021 12:00:00 AM,1245,5,Harbor,565,2,624,BATTERY - SIMPLE ASSAULT,0603 0913 0416 1309,41,M,W,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,600 W  9TH                          ST,,33.7361,-118.2906
230119925,09/15/2023 12:00:00 AM,09/13/2023 12:00:00 AM,2330,1,Central,124,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,46,M,B,517.0,MISSIONS/SHELTERS,,,IC,Invest Cont,341.0,,,,200 N  LOS ANGELES                  ST,,34.0525,-118.2432
241210997,04/29/2024 12:00:00 AM,04/28/2024 12:00:00 AM,1235,12,77th Street,1233,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1309 1822,40,F,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,440.0,,,,1800 W  60TH                         ST,,33.9852,-118.309
212007097,03/06/2021 12:00:00 AM,03/04/2021 12:00:00 AM,1915,20,Olympic,2027,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0352 1221 0386 0306,31,F,B,108.0,PARKING LOT,,,IC,Invest Cont,331.0,,,,500 S  KENMORE                      AV,,34.0642,-118.2966
211500548,01/24/2021 12:00:00 AM,01/24/2021 12:00:00 AM,2315,15,N Hollywood,1525,1,310,BURGLARY,0325 0358 0335 1420 0378 2004 1602 1601 0344 1402,0,M,O,405.0,CLOTHING STORE,,,AA,Adult Arrest,310.0,,,,HAMLIN,LANKERSHIM,34.1888,-118.3878
212113236,08/29/2021 12:00:00 AM,08/29/2021 12:00:00 AM,2200,21,Topanga,2129,2,624,BATTERY - SIMPLE ASSAULT,0562 0416 2024 1206,42,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JO,Juv Other,624.0,,,,19800    ROSCOE                       BL,,34.2203,-118.565
240313226,08/15/2024 12:00:00 AM,08/14/2024 12:00:00 AM,1800,3,Southwest,312,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1606 0385,41,F,U,101.0,STREET,,,IC,Invest Cont,331.0,,,,2700 S  ORANGE                       DR,,34.0311,-118.3538
221817933,09/25/2022 12:00:00 AM,09/23/2022 12:00:00 AM,2022,18,Southeast,1837,1,330,BURGLARY FROM VEHICLE,0344 1822 0321 1601,53,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,330.0,,,,1700 E  IMPERIAL                     HY,,33.9363,-118.2426
221608891,05/30/2022 12:00:00 AM,05/30/2022 12:00:00 AM,300,16,Foothill,1621,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1212 1822,0,M,H,110.0,FREEWAY,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,231.0,,,,SANTA ANA                    FY,RONALD REAGA                 FY,34.2627,-118.4347
221914035,09/06/2022 12:00:00 AM,09/05/2022 12:00:00 AM,2330,19,Mission,1991,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,ROSCOE                       BL,LANGDON                      ST,34.2214,-118.4699
241207779,03/05/2024 12:00:00 AM,03/05/2024 12:00:00 AM,1115,12,77th Street,1243,1,310,BURGLARY,0344 1822 1402 0321 1601 1202,75,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,1700 W  69TH                         ST,,33.977,-118.3068
221220499,09/28/2022 12:00:00 AM,09/28/2022 12:00:00 AM,710,12,77th Street,1232,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0202 1822,0,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,740.0,,,,3200 W  SLAUSON                      AV,,33.989,-118.3282
221908798,04/28/2022 12:00:00 AM,04/10/2022 12:00:00 AM,100,19,Mission,1954,2,901,VIOLATION OF RESTRAINING ORDER,0906 2038,44,F,H,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,901.0,,,,10000    COLUMBUS                     AV,,34.2521,-118.4651
232005085,01/30/2023 12:00:00 AM,01/29/2023 12:00:00 AM,2200,20,Olympic,2088,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300 1609 1822 1218,44,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,745.0,,,,1800    MAGNOLIA                     AV,,34.0412,-118.2864
240107712,02/22/2024 12:00:00 AM,02/21/2024 12:00:00 AM,1810,1,Central,118,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,30,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341.0,,,,1100 N  MAIN                         ST,,34.0633,-118.2336
241206810,02/16/2023 12:00:00 AM,02/16/2023 12:00:00 AM,1730,12,77th Street,1231,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1202 0329 1307 0913,79,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,6100    KENISTON                     AV,,33.9844,-118.3418
211311826,06/28/2021 12:00:00 AM,06/27/2021 12:00:00 AM,2200,13,Newton,1333,1,510,VEHICLE - STOLEN,,0,,,104.0,DRIVEWAY,,,IC,Invest Cont,510.0,,,,700 E  32ND                         ST,,34.0163,-118.2624
231313440,07/05/2023 12:00:00 AM,07/03/2023 12:00:00 AM,300,13,Newton,1313,1,330,BURGLARY FROM VEHICLE,0344 0358 1307 1822,40,M,B,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330.0,,,,500 E  15TH                         ST,,34.0321,-118.258
210122073,12/13/2021 12:00:00 AM,12/13/2021 12:00:00 AM,1055,1,Central,119,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0910 1822 0400 0408 1402 2004,32,M,B,834.0,LA UNION STATION (NOT LINE SPECIFIC),500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,230.0,998.0,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
211515747,10/08/2021 12:00:00 AM,10/06/2021 12:00:00 AM,2200,15,N Hollywood,1539,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,5600    DENNY                        AV,,34.1721,-118.3649
200109537,03/23/2020 12:00:00 AM,03/15/2020 12:00:00 AM,1500,1,Central,159,1,330,BURGLARY FROM VEHICLE,0329 1822 0344 1307 1609,22,F,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,1200 E  6TH                          ST,,34.0382,-118.2384
231506787,03/06/2023 12:00:00 AM,03/05/2023 12:00:00 AM,2041,15,N Hollywood,1591,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 2028,0,X,X,406.0,OTHER STORE,,,IC,Invest Cont,442.0,,,,12100    VENTURA                      BL,,34.1436,-118.3953
222012037,07/06/2022 12:00:00 AM,07/06/2022 12:00:00 AM,100,20,Olympic,2076,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 0446 0913 1206 1241 1813 1821 2000,28,F,H,210.0,RESTAURANT/FAST FOOD,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,2500 W  PICO                         BL,,34.0473,-118.2916
200208044,03/21/2020 12:00:00 AM,03/21/2020 12:00:00 AM,1330,2,Rampart,237,2,624,BATTERY - SIMPLE ASSAULT,0400 0447 0416 1822 1300 1310 0444 0448,54,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,200    WITMER                       ST,,34.061,-118.2615
230617962,11/17/2023 12:00:00 AM,09/30/2023 12:00:00 AM,1625,6,Hollywood,622,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 0913,40,M,W,751.0,WEBSITE,,,IC,Invest Cont,956.0,,,,7200    HILLSIDE                     AV,,34.1046,-118.3461
231500723,05/05/2023 12:00:00 AM,05/05/2023 12:00:00 AM,1315,15,N Hollywood,1529,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 1402 0445 0443,51,M,H,402.0,MARKET,200.0,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,230.0,998.0,,,10800    OXNARD                       ST,,34.1829,-118.365
210810626,06/19/2021 12:00:00 AM,06/19/2021 12:00:00 AM,1845,8,West LA,899,2,888,TRESPASSING,1202 1501 1822,65,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888.0,,,,2800    LA CIENEGA                   AV,,34.0329,-118.3832
221812716,06/15/2022 12:00:00 AM,06/08/2022 12:00:00 AM,1204,18,Southeast,1862,2,354,THEFT OF IDENTITY,0100 1822 0922 0930,28,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,200 E  119TH                        ST,,33.9247,-118.2716
220322316,12/25/2022 12:00:00 AM,12/25/2022 12:00:00 AM,1650,3,Southwest,355,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,36TH                         PL,WESTERN                      AV,34.0219,-118.3089
230815211,09/30/2023 12:00:00 AM,09/30/2023 12:00:00 AM,1051,8,West LA,852,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0344 1822 1420,0,X,X,404.0,DEPARTMENT STORE,,,IC,Invest Cont,442.0,,,,11800    SANTA MONICA                 BL,,34.0428,-118.4582
210715860,11/22/2021 12:00:00 AM,11/20/2021 12:00:00 AM,1330,7,Wilshire,721,1,330,BURGLARY FROM VEHICLE,1609 0344,36,F,O,707.0,GARAGE/CARPORT,,,IC,Invest Cont,330.0,,,,8500    BEVERLY                      BL,,34.0761,-118.3772
202016815,11/06/2020 12:00:00 AM,11/06/2020 12:00:00 AM,200,20,Olympic,2002,1,121,"RAPE, FORCIBLE",1402 1415 1409 1259 0527 1817 0913,16,F,W,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121.0,998.0,,,ROSEWOOD                     AV,WESTERN                      AV,34.0793,-118.3091
221318322,09/26/2022 12:00:00 AM,09/25/2022 12:00:00 AM,1600,13,Newton,1393,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,200 W  66TH                         ST,,33.9797,-118.2766
220204492,01/12/2022 12:00:00 AM,11/05/2021 12:00:00 AM,900,2,Rampart,246,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,702.0,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,740.0,,,,300 S  ALVARADO                     ST,,34.063,-118.2727
221421084,12/17/2022 12:00:00 AM,12/16/2022 12:00:00 AM,2330,14,Pacific,1406,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,3600    MENTONE                      AV,,34.0243,-118.4085
211011971,09/04/2021 12:00:00 AM,09/04/2021 12:00:00 AM,100,10,West Valley,1065,1,310,BURGLARY,0358 1609 1822 0202 0216 1420,0,M,W,717.0,HEALTH SPA/GYM,311.0,HAMMER,IC,Invest Cont,310.0,,,,18000    VENTURA                      BL,,34.1675,-118.5226
211320274,12/11/2021 12:00:00 AM,12/11/2021 12:00:00 AM,1600,13,Newton,1313,2,354,THEFT OF IDENTITY,0800 0344 2032 1822 0930,41,M,H,717.0,HEALTH SPA/GYM,,,IC,Invest Cont,354.0,,,,1000 E  WASHINGTON                   BL,,34.0254,-118.2525
241205020,01/17/2024 12:00:00 AM,01/16/2024 12:00:00 AM,1930,12,77th Street,1231,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,6000 S  HARCOURT                     AV,,33.9853,-118.3407
221314814,07/21/2022 12:00:00 AM,07/21/2022 12:00:00 AM,400,13,Newton,1371,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0431 1822 0910,31,M,B,801.0,MTA BUS,512.0,MACE/PEPPER SPRAY,IC,Invest Cont,230.0,,,,BROADWAY,54TH                         ST,33.9933,-118.2783
221818238,09/30/2022 12:00:00 AM,09/29/2022 12:00:00 AM,1206,18,Southeast,1862,2,354,THEFT OF IDENTITY,0922 1822,35,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,200 E  116TH                        ST,,33.9292,-118.2717
221000528,01/19/2022 12:00:00 AM,01/19/2022 12:00:00 AM,515,10,West Valley,1031,1,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,1822 1402,27,M,H,101.0,STREET,,,IC,Invest Cont,421.0,998.0,,,CORBIN                       AV,HAMLIN                       ST,34.1889,-118.5622
202109001,05/05/2020 12:00:00 AM,05/05/2020 12:00:00 AM,2310,21,Topanga,2158,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,62,M,H,101.0,STREET,,,IC,Invest Cont,745.0,,,,21000    ERWIN                        ST,,34.1827,-118.5903
231509196,05/03/2023 12:00:00 AM,05/01/2023 12:00:00 AM,2300,15,N Hollywood,1566,1,330,BURGLARY FROM VEHICLE,1607 1302 0321 0344 1822,46,M,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,330.0,,,,4300    VINELAND                     AV,,34.1481,-118.3702
232109839,06/01/2023 12:00:00 AM,06/01/2023 12:00:00 AM,915,21,Topanga,2145,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0377 1606 0344,36,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,420.0,,,,6700    RUDNICK                      AV,,34.1915,-118.6124
220513019,08/27/2022 12:00:00 AM,08/27/2022 12:00:00 AM,1045,5,Harbor,565,2,624,BATTERY - SIMPLE ASSAULT,0416 2021 1202 0603 0913,62,M,W,121.0,YARD (RESIDENTIAL/BUSINESS),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,800 S  CABRILLO                     AV,,33.737,-118.2946
231511245,06/20/2023 12:00:00 AM,06/20/2023 12:00:00 AM,910,15,N Hollywood,1516,2,903,CONTEMPT OF COURT,2038 1402,66,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,903.0,998.0,,,6600    CAMELLIA                     AV,,34.1903,-118.3823
241007325,04/02/2024 12:00:00 AM,04/02/2024 12:00:00 AM,1900,10,West Valley,1028,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 0400 0419 0444 0429 0416 1414 0344 0446,25,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,16500    VICTORY                      BL,,34.1939,-118.4967
221914660,09/19/2022 12:00:00 AM,09/19/2022 12:00:00 AM,1945,19,Mission,1915,2,624,BATTERY - SIMPLE ASSAULT,0561 0416 0444 0417,56,F,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,12600    HERRICK                      AV,,34.2988,-118.4448
200714652,10/08/2020 12:00:00 AM,10/08/2020 12:00:00 AM,730,7,Wilshire,784,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,2400 S  ORANGE                       DR,,34.0348,-118.3521
200711414,05/30/2020 12:00:00 AM,05/30/2020 12:00:00 AM,1730,7,Wilshire,723,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1212 0447 0917 1822,0,X,X,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,231.0,,,,BEVERLY                      BL,EDINBURGH,34.0761,-118.3637
200705755,02/06/2020 12:00:00 AM,02/06/2020 12:00:00 AM,955,7,Wilshire,774,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0907 0430 1402 0913,37,F,H,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,230.0,998.0,,,ORANGE                       DR,VENICE                       BL,34.0455,-118.3479
232014923,09/02/2023 12:00:00 AM,09/01/2023 12:00:00 AM,1800,20,Olympic,2026,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,KENMORE                      AV,3RD                          ST,34.069,-118.2967
230404647,01/20/2023 12:00:00 AM,01/19/2023 12:00:00 AM,1800,4,Hollenbeck,497,1,310,BURGLARY,0329 1602,0,X,X,222.0,LAUNDROMAT,,,IC,Invest Cont,310.0,,,,3400 E  OLYMPIC                      BL,,34.0188,-118.2051
201904743,01/17/2020 12:00:00 AM,01/17/2020 12:00:00 AM,920,19,Mission,1901,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1402,33,M,W,101.0,STREET,,,IC,Invest Cont,420.0,998.0,,,BALBOA                       BL,NICKLAUS,34.3237,-118.4923
211220727,10/01/2021 12:00:00 AM,10/01/2021 12:00:00 AM,745,12,77th Street,1209,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0432 0302 0334 0919 1251 1309 1310 1822,34,F,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,230.0,,,,FIGUEROA                     ST,VERNON                       AV,34.0038,-118.2827
200115664,08/01/2020 12:00:00 AM,07/25/2020 12:00:00 AM,1940,1,Central,123,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1212 0917 0305 0429 1822 1420,37,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,231.0,,,,1ST,BROADWAY,34.0536,-118.2455
231106626,03/10/2023 12:00:00 AM,03/09/2023 12:00:00 AM,1800,11,Northeast,1133,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,3000    GLENHURST                    AV,,34.1105,-118.253
201808950,03/31/2020 12:00:00 AM,03/30/2020 12:00:00 AM,2230,18,Southeast,1831,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,120TH                        ST,VERMONT,33.9237,-118.2915
232018134,11/08/2023 12:00:00 AM,07/08/2023 12:00:00 AM,1515,20,Olympic,2005,2,354,THEFT OF IDENTITY,1202 0100 1822,61,F,K,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,400 N  KINGSLEY                     DR,,34.0777,-118.3035
201314925,08/03/2020 12:00:00 AM,08/01/2020 12:00:00 AM,1330,13,Newton,1321,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1300 0344 0385 0329,0,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,341.0,,,,2300 S  MAIN                         ST,,34.0276,-118.267
231421854,12/15/2023 12:00:00 AM,12/15/2023 12:00:00 AM,1800,14,Pacific,1465,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,42,M,H,101.0,STREET,,,IC,Invest Cont,740.0,,,,JUNIETTE,MESMER,33.9869,-118.4022
221110412,06/14/2022 12:00:00 AM,06/11/2022 12:00:00 AM,1200,11,Northeast,1112,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,4400    VERDUGO                      RD,,34.1309,-118.2329
211908424,05/06/2021 12:00:00 AM,05/06/2021 12:00:00 AM,1720,19,Mission,1985,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1814 0417 0408 0411 0913,39,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",210.0,RAZOR BLADE,IC,Invest Cont,236.0,,,,8800    TOBIAS                       AV,,34.2299,-118.4517
241104824,01/23/2024 12:00:00 AM,01/20/2024 12:00:00 AM,2030,11,Northeast,1163,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1601,0,X,X,101.0,STREET,,,IC,Invest Cont,331.0,,,,4800    SANTA MONICA                 BL,,34.0932,-118.2939
211005345,02/14/2021 12:00:00 AM,02/11/2021 12:00:00 AM,2100,10,West Valley,1029,1,510,VEHICLE - STOLEN,,0,,,104.0,DRIVEWAY,,,AO,Adult Other,510.0,,,,15700    VOSE                         ST,,34.1985,-118.4793
241806072,02/13/2024 12:00:00 AM,02/12/2024 12:00:00 AM,1515,18,Southeast,1823,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 0325,0,X,X,408.0,AUTO SUPPLY STORE*,,,IC,Invest Cont,440.0,,,,10300    AVALON                       BL,,33.9441,-118.2652
